competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
16595332,,,1,47.013,,0.154,0.154,0.407,False,False,,,
16595332,,,2,46.504,,,,0.355,False,False,,,
16595332,,,3,46.421,,,,0.107,False,False,,,
16595332,,,4,46.315,,,,0.213,False,False,,,
16595332,,,5,46.070,,,,0.167,False,False,,,
16595332,,,6,46.521,,,,0.167,False,False,,,
16595332,,,7,46.410,,,,0.167,False,False,,,
16595332,,,8,46.352,18:00:11.692,,,0.167,True,True,,,
13788776,,,1,47.420,,0.916,0.561,0.039,False,False,,,
13788776,,,2,47.382,,0.878,0.523,0.077,False,False,,,
13788776,,,3,46.736,,0.315,0.208,0.123,False,False,,,
13788776,,,4,46.237,,,,0.078,False,False,,,
13788776,,,5,46.700,,0.167,0.167,0.144,False,False,,,
13788776,,,6,46.620,,0.167,0.167,0.144,False,False,,,
13788776,,,7,46.522,,0.167,0.167,0.003,False,False,,,
13788776,,,8,46.532,18:00:14.400,0.167,0.167,0.003,False,True,,,
15728644,,,1,49.120,,2.616,0.540,0.225,False,False,,,
15728644,,,2,46.893,,0.389,0.034,0.489,False,False,,,
15728644,,,3,47.260,,0.472,0.034,0.014,False,False,,,
15728644,,,4,47.062,,0.656,0.259,0.014,False,False,,,
15728644,,,5,46.614,,0.544,0.086,0.101,False,False,,,
15728644,,,6,46.240,,0.170,0.003,0.141,False,False,,,
15728644,,,7,47.660,,0.170,0.003,0.141,False,False,,,
15728644,,,8,46.441,18:00:24.242,0.170,0.003,0.141,False,True,,,
13820677,,,1,48.057,,1.044,0.251,1.063,False,False,,,
13820677,,,2,46.859,,,,0.154,False,False,,,
13820677,,,3,47.165,,0.355,0.331,0.034,False,False,,,
13820677,,,4,46.634,,0.213,0.106,0.102,False,False,,,
13820677,,,5,46.381,,0.311,0.144,0.147,False,False,,,
13820677,,,6,46.673,,0.311,0.144,0.147,False,False,,,
13820677,,,7,46.626,,0.311,0.141,0.027,False,False,,,
13820677,,,8,47.410,18:00:12.614,0.311,0.141,0.027,False,True,,,
16602500,,,1,49.747,,3.243,0.033,0.056,False,False,,,
16602500,,,2,48.580,,2.076,0.774,0.540,False,False,,,
16602500,,,3,49.815,,2.159,0.204,0.041,False,False,,,
16602500,,,4,47.007,,0.770,0.074,0.114,False,False,,,
16602500,,,5,47.539,,0.937,0.100,0.114,False,False,,,
16602500,,,6,46.408,,0.338,0.027,0.120,False,False,,,
16602500,,,7,46.854,,0.338,0.027,0.120,False,False,,,
16602500,,,8,46.473,18:00:24.993,0.338,0.027,0.120,False,True,,,
11961197,,,1,47.501,,0.997,0.042,0.261,False,False,,,
11961197,,,2,46.528,,0.024,0.024,0.331,False,False,,,
11961197,,,3,46.920,,0.107,0.107,0.208,False,False,,,
11961197,,,4,48.191,,0.291,0.213,0.106,False,False,,,
11961197,,,5,49.359,,0.458,0.147,0.086,False,False,,,
11961197,,,6,55.746,,0.458,0.120,0.072,False,False,,,
11961197,,,7,47.754,,0.458,0.120,0.072,False,False,,,
11961197,,,8,52.380,18:00:46.965,0.458,0.120,0.002,False,True,,,
13248252,,,1,47.806,,1.302,0.044,1.314,False,False,,,
13248252,,,2,47.894,,1.302,0.044,0.774,False,False,,,
13248252,,,3,48.734,,1.385,0.873,0.003,False,False,,,
13248252,,,4,47.121,,0.884,0.188,0.652,False,False,,,
13248252,,,5,47.604,,1.051,0.114,0.277,False,False,,,
13248252,,,6,46.600,,0.530,0.072,0.115,False,False,,,
13248252,,,7,46.978,,0.530,0.072,0.115,False,False,,,
13248252,,,8,46.530,18:00:24.602,0.460,0.002,0.185,False,True,,,
11010697,,,1,47.762,,1.258,0.261,0.044,False,False,,,
11010697,,,2,49.011,,1.258,0.261,0.044,False,False,,,
11010697,,,3,46.933,,0.512,0.026,0.873,False,False,,,
11010697,,,4,47.031,,0.696,0.026,0.840,False,False,,,
11010697,,,5,46.715,,0.645,0.187,0.178,False,False,,,
11010697,,,6,46.869,,0.645,0.101,0.192,False,False,,,
11010697,,,7,46.971,,0.645,0.115,0.192,False,False,,,
11010697,,,8,47.009,18:00:17.272,0.645,0.115,0.192,False,True,,,
11818104,,,1,47.459,,0.955,0.077,0.303,False,False,,,
11818104,,,2,46.907,,0.403,0.014,0.475,False,False,,,
11818104,,,3,48.533,,0.486,0.014,0.026,False,False,,,
11818104,,,4,47.010,,0.670,0.014,0.026,False,False,,,
11818104,,,5,54.748,,0.837,0.192,0.100,False,False,,,
11818104,,,6,47.036,,0.837,0.192,0.491,False,False,,,
11818104,,,7,52.013,,0.837,0.192,0.491,False,False,,,
11818104,,,8,48.541,18:00:51.058,0.837,0.192,0.298,False,True,,,
13204087,,,1,49.345,,2.841,0.765,0.028,False,False,,,
