competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
12864952,,,1,48.425,,,,1.686,False,False,,,
12864952,,,2,46.045,,,,1.686,False,False,,,
12864952,,,3,46.708,,,,1.998,False,False,,,
12864952,,,4,45.700,,,,1.417,False,False,,,
12864952,,,5,45.947,,,,1.455,False,False,,,
12864952,,,6,45.935,,,,1.068,False,False,,,
12864952,,,7,45.907,,,,0.929,False,False,,,
12864952,,,8,45.989,,,,0.747,False,False,,,
12864952,,,9,46.874,20:24:57.032,,,0.046,False,False,,,
3774931,,,1,49.750,,1 Lap,1 Lap,0.666,False,False,,,
3774931,,,2,46.357,,1.998,1.998,0.666,False,False,,,
3774931,,,3,46.127,,1.417,1.417,1.209,False,False,,,
3774931,,,4,45.738,,1.455,1.455,1.512,False,False,,,
3774931,,,5,45.560,,1.068,1.068,1.770,False,False,,,
3774931,,,6,45.796,,0.929,0.929,3.729,False,False,,,
3774931,,,7,45.725,,0.747,0.747,4.782,False,False,,,
3774931,,,8,45.852,,0.610,0.610,5.645,False,False,,,
3774931,,,9,46.310,20:24:57.078,0.046,0.046,6.438,True,False,,,
10927270,,,1,51.471,,1 Lap,0.343,0.847,False,False,,,
10927270,,,2,46.780,,3.430,0.223,0.847,False,False,,,
10927270,,,3,46.408,,3.130,0.201,1.048,False,False,,,
10927270,,,4,46.248,,3.678,0.453,1.860,False,False,,,
10927270,,,5,47.066,,4.797,3.729,,False,False,,,
10927270,,,6,46.849,,5.711,4.782,0.651,False,False,,,
10927270,,,7,46.588,,6.392,5.645,0.568,False,False,,,
10927270,,,8,46.645,,7.048,6.438,0.952,False,False,,,
10927270,,,9,47.009,20:25:04.215,7.183,7.137,2.207,False,True,,,
7048573,,,1,50.957,,1 Lap,0.772,2.652,False,False,,,
7048573,,,2,47.481,,5.750,1.272,,False,False,,,
7048573,,,3,46.868,,5.910,0.920,0.670,False,False,,,
7048573,,,4,46.341,,6.551,0.984,1.195,False,False,,,
7048573,,,5,46.457,,7.061,0.935,1.437,False,False,,,
7048573,,,6,46.267,,7.393,0.864,1.598,False,False,,,
7048573,,,7,46.479,,7.965,0.621,,False,False,,,
7048573,,,8,47.279,,9.255,2.207,,False,False,,,
7048573,,,9,46.115,20:25:05.528,8.496,1.313,0.499,False,True,,,
5373404,,,1,52.176,,1 Lap,0.416,0.356,False,False,,,
5373404,,,2,46.565,,4.478,1.048,,False,False,,,
5373404,,,3,47.220,,4.990,1.860,1.272,False,False,,,
5373404,,,4,46.277,,5.567,1.889,0.920,False,False,,,
5373404,,,5,46.506,,6.126,0.678,0.984,False,False,,,
5373404,,,6,46.088,,6.279,0.568,0.250,False,False,,,
5373404,,,7,46.972,,7.344,0.952,0.621,False,False,,,
5373404,,,8,48.399,,9.754,0.499,1.274,False,False,,,
5373404,,,9,45.925,20:25:05.837,8.805,0.309,0.482,False,True,,,
6824862,,,1,49.942,,1 Lap,1 Lap,0.343,False,False,,,
6824862,,,2,46.900,,3.207,1.209,0.223,False,False,,,
6824862,,,3,46.430,,2.929,1.512,0.223,False,False,,,
6824862,,,4,45.996,,3.225,1.770,0.201,False,False,,,
6824862,,,5,48.170,,5.448,0.651,2.342,False,False,,,
6824862,,,6,47.016,,6.529,0.250,1.613,False,False,,,
6824862,,,7,47.996,,8.618,0.653,2.994,False,False,,,
6824862,,,8,47.607,,10.236,0.482,1.643,False,False,,,
6824862,,,9,46.102,20:25:06.496,9.464,0.659,1.383,False,True,,,
13820677,,,1,50.759,,1 Lap,1 Lap,3.424,False,False,,,
13820677,,,2,48.923,,6.420,0.670,3.424,False,False,,,
13820677,,,3,47.393,,7.105,1.195,2.023,False,False,,,
13820677,,,4,46.583,,7.988,1.437,2.852,False,False,,,
13820677,,,5,46.618,,8.659,1.598,3.382,False,False,,,
13820677,,,6,46.799,,9.523,2.130,3.128,False,False,,,
13820677,,,7,46.645,,10.261,1.643,2.606,False,False,,,
13820677,,,8,47.347,,11.619,1.383,2.068,False,False,,,
13820677,,,9,45.881,20:25:07.658,10.626,1.162,1.234,False,True,,,
2566194,,,1,53.138,,1 Lap,0.002,0.209,False,False,,,
2566194,,,2,47.643,,8.962,0.519,,False,False,,,
2566194,,,3,47.703,,9.957,2.852,0.262,False,False,,,
2566194,,,4,47.113,,11.370,3.382,0.262,False,False,,,
2566194,,,5,46.364,,11.787,3.128,0.330,False,False,,,
2566194,,,6,46.277,,12.129,2.606,0.627,False,False,,,
2566194,,,7,46.107,,12.329,2.068,0.988,False,False,,,
2566194,,,8,46.513,,12.853,1.234,1.372,False,False,,,
2566194,,,9,45.761,20:25:08.772,11.740,1.114,2.125,False,True,,,
3533068,,,1,52.688,,1 Lap,0.204,0.192,False,False,,,
3533068,,,2,47.318,,8.443,2.023,,False,False,,,
3533068,,,3,48.484,,10.219,0.262,3.141,False,False,,,
3533068,,,4,47.181,,11.700,0.330,3.149,False,False,,,
3533068,,,5,46.661,,12.414,0.627,3.177,False,False,,,
3533068,,,6,46.638,,13.117,0.988,5.699,False,False,,,
3533068,,,7,46.491,,13.701,1.372,6.614,False,False,,,
3533068,,,8,47.266,,14.978,2.125,7.465,False,False,,,
3533068,,,9,46.654,20:25:11.790,14.758,3.018,7.375,False,True,,,
11548670,,,1,53.853,,1 Lap,0.650,0.735,False,False,,,
11548670,,,2,49.932,,12.110,0.526,0.184,False,False,,,
11548670,,,3,48.430,,13.832,0.464,0.184,False,False,,,
11548670,,,4,46.745,,14.877,3.177,,False,False,,,
11548670,,,5,49.183,,18.113,5.699,0.963,False,False,,,
11548670,,,6,47.553,,19.731,6.614,0.968,False,False,,,
11548670,,,7,47.342,,21.166,7.465,1.627,False,False,,,
11548670,,,8,47.176,,22.353,7.375,,False,False,,,
11548670,,,9,47.224,20:25:19.735,22.703,7.945,0.537,False,True,,,
13248252,,,1,53.360,,1 Lap,0.211,0.650,False,False,,,
13248252,,,2,50.766,,12.294,0.184,,False,False,,,
