session_id,event_id,event_name,day,run_name,run_type,start_time,best_lap_time
E82E774B72637180-2147484765-1073750249,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Transponders,1,24-05-2026 16:00:00.000,
E82E774B72637180-2147484765-1073750250,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Practica Libre #1,1,24-05-2026 16:10:00.000,
E82E774B72637180-2147484765-1073750251,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Practica Libre #2,1,24-05-2026 16:20:00.000,
E82E774B72637180-2147484765-1073750252,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Practica Libre #3,1,24-05-2026 17:05:00.000,
E82E774B72637180-2147484765-1073750253,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat A - Qualy,2,24-05-2026 18:00:00.000,
E82E774B72637180-2147484765-1073750243,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat B - Qualy,2,24-05-2026 18:10:00.000,
E82E774B72637180-2147484765-1073750244,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat C - Qualy,2,24-05-2026 18:20:00.000,
E82E774B72637180-2147484765-1073750245,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat D - Qualy,2,24-05-2026 18:30:00.000,
E82E774B72637180-2147484765-1073750254,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat A - Final,0,24-05-2026 18:40:00.000,
E82E774B72637180-2147484765-1073750246,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat B - Final,0,24-05-2026 18:50:00.000,
E82E774B72637180-2147484765-1073750247,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat C - Final,0,24-05-2026 19:05:00.000,
E82E774B72637180-2147484765-1073750248,E82E774B72637180-2147484765,Rental Karting AM Cup - Fecha 2,Domingo,Cat D - Final,0,24-05-2026 19:20:00.000,47.005
