competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
13871272,,,1,48.396,,0.963,0.151,0.142,False,False,,,
13871272,,,2,46.861,,,,0.572,False,False,,,
13871272,,,3,49.357,,,,0.572,False,False,,,
13871272,,,4,47.366,,,,0.572,False,False,,,
13871272,,,5,47.876,,,,0.329,False,False,,,
13871272,,,6,47.762,,0.225,0.225,0.016,False,False,,,
13871272,,,7,46.496,,,,0.140,False,False,,,
13871272,,,8,46.459,18:19:15.309,,,0.177,True,True,,,
15443831,,,1,47.914,,0.149,0.001,0.033,False,False,,,
15443831,,,2,47.433,,,,0.134,False,False,,,
15443831,,,3,49.461,,0.572,0.572,0.109,False,False,,,
15443831,,,4,47.687,,0.572,0.572,0.062,False,False,,,
15443831,,,5,48.786,,0.572,0.098,0.023,False,False,,,
15443831,,,6,46.636,,,,0.225,False,False,,,
15443831,,,7,1:01.980,,0.140,0.140,0.239,False,False,,,
15443831,,,8,46.486,18:19:29.749,0.027,0.027,0.389,False,True,,,
16595332,,,1,49.962,,2.048,0.229,0.092,False,False,,,
16595332,,,2,48.245,,0.480,0.331,0.151,False,False,,,
16595332,,,3,47.740,,0.879,0.173,0.173,False,False,,,
16595332,,,4,47.510,,0.649,0.077,0.032,False,False,,,
16595332,,,5,47.456,,0.595,0.023,0.039,False,False,,,
16595332,,,6,47.141,,0.280,0.280,0.049,False,False,,,
16595332,,,7,46.875,,0.239,0.014,0.002,False,False,,,
16595332,,,8,47.483,,0.379,0.239,0.002,False,False,,,
16595332,,,9,47.888,18:19:40.933,0.416,0.389,0.002,False,True,,,
15728644,,,1,50.738,,2.973,0.290,0.003,False,False,,,
15728644,,,2,47.947,,0.182,0.033,0.298,False,False,,,
15728644,,,3,47.994,,1.086,0.034,0.072,False,False,,,
15728644,,,4,47.852,,0.991,0.285,0.061,False,False,,,
15728644,,,5,49.327,,0.991,0.165,0.046,False,False,,,
15728644,,,6,46.877,,0.016,0.016,0.264,False,False,,,
15728644,,,7,47.030,,0.241,0.002,0.312,False,False,,,
15728644,,,8,48.069,18:19:03.266,0.381,0.002,0.312,False,True,,,
11961197,,,1,48.662,,0.897,0.124,0.329,False,False,,,
11961197,,,2,47.913,,0.148,0.148,0.001,False,False,,,
11961197,,,3,48.361,,1.052,0.173,0.034,False,False,,,
11961197,,,4,47.687,,0.826,0.120,0.165,False,False,,,
11961197,,,5,47.190,,0.329,0.329,0.145,False,False,,,
11961197,,,6,47.201,,0.329,0.049,0.145,False,False,,,
11961197,,,7,47.343,,0.554,0.001,0.304,False,False,,,
11961197,,,8,46.947,18:19:12.762,0.451,0.070,0.242,False,True,,,
13788776,,,1,48.284,,0.370,0.370,0.112,False,False,,,
13788776,,,2,47.765,,,,0.149,False,False,,,
13788776,,,3,47.542,,0.681,0.109,0.025,False,False,,,
13788776,,,4,47.588,,0.681,0.109,0.025,False,False,,,
13788776,,,5,47.335,,0.474,0.474,0.098,False,False,,,
13788776,,,6,47.357,,0.474,0.145,0.098,False,False,,,
13788776,,,7,47.189,,0.553,0.048,0.001,False,False,,,
13788776,,,8,47.959,,0.693,0.312,0.001,False,False,,,
13788776,,,9,48.220,18:19:40.654,0.730,0.242,0.215,False,True,,,
13248252,,,1,50.741,,2.976,0.293,0.436,False,False,,,
13248252,,,2,48.991,,1.226,0.243,0.254,False,False,,,
13248252,,,3,49.323,,2.130,0.260,0.344,False,False,,,
13248252,,,4,48.768,,1.907,0.208,0.309,False,False,,,
13248252,,,5,48.246,,1.385,0.177,0.089,False,False,,,
13248252,,,6,51.591,,1.385,0.130,0.055,False,False,,,
13248252,,,7,48.492,,1.610,0.130,0.312,False,False,,,
13248252,,,8,47.404,18:19:14.293,0.908,0.215,0.090,False,True,,,
10761436,,,1,52.287,,4.522,0.191,1.292,False,False,,,
10761436,,,2,49.245,,1.480,0.497,0.090,False,False,,,
10761436,,,3,48.706,,1.845,0.168,0.025,False,False,,,
10761436,,,4,48.560,,1.699,0.022,0.431,False,False,,,
10761436,,,5,47.898,,1.037,0.046,0.110,False,False,,,
10761436,,,6,47.494,,0.633,0.061,0.001,False,False,,,
10761436,,,7,47.694,,0.858,0.304,0.001,False,False,,,
10761436,,,8,48.331,18:19:02.113,0.998,0.304,0.001,False,True,,,
11609723,,,1,50.448,,2.683,0.062,1.648,False,False,,,
11609723,,,2,47.567,,0.134,0.134,0.198,False,False,,,
11609723,,,3,48.704,,0.706,0.025,0.173,False,False,,,
11609723,,,4,47.495,,0.634,0.062,0.015,False,False,,,
11609723,,,5,49.891,,0.634,0.039,0.357,False,False,,,
11609723,,,6,48.538,,0.859,0.001,0.310,False,False,,,
11609723,,,7,47.862,,0.999,0.001,0.310,False,False,,,
11609723,,,8,49.915,18:19:21.096,1.036,0.001,0.159,False,True,,,
16602500,,,1,50.054,,2.289,0.034,0.394,False,False,,,
16602500,,,2,49.422,,1.657,0.087,0.311,False,False,,,
16602500,,,3,50.354,,2.561,0.087,0.081,False,False,,,
16602500,,,4,48.335,,1.474,0.266,0.225,False,False,,,
16602500,,,5,48.703,,1.474,0.266,0.361,False,False,,,
16602500,,,6,48.301,,1.440,0.055,0.076,False,False,,,
16602500,,,7,48.035,,1.399,0.014,0.034,False,False,,,
16602500,,,8,47.654,18:19:10.133,1.158,0.159,0.151,False,True,,,
10927270,,,1,49.495,,1.730,0.160,0.238,False,False,,,
10927270,,,2,48.538,,0.773,0.142,0.124,False,False,,,
10927270,,,3,49.710,,1.677,0.519,0.168,False,False,,,
10927270,,,4,48.008,,1.147,0.095,0.011,False,False,,,
10927270,,,5,47.886,,1.025,0.034,0.012,False,False,,,
10927270,,,6,47.805,,0.944,0.310,0.214,False,False,,,
10927270,,,7,48.013,,1.169,0.310,0.060,False,False,,,
10927270,,,8,47.921,18:19:08.148,1.309,0.310,0.060,False,True,,,
13451047,,,1,48.748,,0.983,0.086,0.243,False,False,,,
13451047,,,2,48.019,,0.254,0.072,0.226,False,False,,,
13451047,,,3,48.339,,1.158,0.072,0.519,False,False,,,
13451047,,,4,51.429,,1.158,0.011,0.050,False,False,,,
13451047,,,5,48.944,,1.158,0.121,0.050,False,False,,,
13451047,,,6,47.865,,1.229,0.060,0.204,False,False,,,
13451047,,,7,49.994,,1.369,0.060,0.156,False,False,,,
13451047,,,8,48.110,18:19:21.589,1.406,0.060,0.156,False,True,,,
11548670,,,1,49.335,,2.474,0.090,0.087,False,False,,,
11548670,,,2,50.716,,2.474,0.090,0.087,False,False,,,
11548670,,,3,49.311,,2.450,0.234,0.111,False,False,,,
11548670,,,4,49.029,,2.168,0.261,0.048,False,False,,,
11548670,,,5,48.377,,1.516,0.042,0.250,False,False,,,
11548670,,,6,48.021,,1.385,0.156,0.048,False,False,,,
11548670,,,7,48.460,,1.525,0.156,0.014,False,False,,,
11548670,,,8,48.379,18:19:26.892,1.562,0.156,0.048,False,True,,,
11818104,,,1,49.733,,2.872,0.065,0.138,False,False,,,
11818104,,,2,48.731,,1.870,0.193,0.260,False,False,,,
11818104,,,3,48.069,,1.208,0.050,0.469,False,False,,,
