competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
13871272,,,1,51.480,,4.068,0.958,0.267,False,False,,,
13871272,,,2,48.539,,1.127,0.294,0.172,False,False,,,
13871272,,,3,48.193,,1.462,0.106,0.364,False,False,,,
13871272,,,4,46.549,,,,0.165,False,False,,,
13871272,,,5,47.252,,,,0.165,False,False,,,
13871272,,,6,46.198,,,,0.400,False,False,,,
13871272,,,7,46.251,,,,0.279,False,False,,,
13871272,,,8,45.867,18:39:06.404,,,0.259,True,True,,,
10761436,,,1,48.132,,0.720,0.141,0.579,False,False,,,
10761436,,,2,47.757,,0.345,0.191,0.234,False,False,,,
10761436,,,3,46.917,,0.186,0.186,0.122,False,False,,,
10761436,,,4,46.885,,0.171,0.154,0.379,False,False,,,
10761436,,,5,47.552,,0.336,0.106,0.094,False,False,,,
10761436,,,6,47.683,,0.336,0.106,0.011,False,False,,,
10761436,,,7,46.477,,0.279,0.279,0.050,False,False,,,
10761436,,,8,46.126,18:39:04.513,,,0.072,True,True,,,
13248252,,,1,47.566,,0.154,0.154,0.425,False,False,,,
13248252,,,2,48.352,,0.154,0.154,0.191,False,False,,,
13248252,,,3,46.731,,,,0.308,False,False,,,
13248252,,,4,46.841,,0.017,0.017,0.186,False,False,,,
13248252,,,5,55.726,,0.182,0.017,0.048,False,False,,,
13248252,,,6,47.137,,0.533,0.017,0.154,False,False,,,
13248252,,,7,46.397,,0.199,0.199,0.080,False,False,,,
13248252,,,8,46.422,18:39:11.902,0.530,0.271,0.008,False,True,,,
15443831,,,1,50.999,,3.433,0.579,0.481,False,False,,,
15443831,,,2,50.522,,2.956,0.102,0.958,False,False,,,
15443831,,,3,49.217,,2.178,0.288,0.050,False,False,,,
15443831,,,4,48.112,,1.398,0.106,0.081,False,False,,,
15443831,,,5,50.757,,1.563,0.121,0.094,False,False,,,
15443831,,,6,47.948,,1.399,0.178,0.258,False,False,,,
15443831,,,7,48.160,,1.750,0.223,0.221,False,False,,,
15443831,,,8,46.405,18:39:06.050,0.538,0.008,0.082,False,True,,,
13788776,,,1,49.055,,1.489,0.034,0.713,False,False,,,
