competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
13871272,,,1,49.601,,2.720,0.474,0.502,False,False,,,
13871272,,,2,46.589,,,,0.292,False,False,,,
13871272,,,3,46.688,,,,0.255,False,False,,,
13871272,,,4,46.538,,0.296,0.228,0.090,False,False,,,
13871272,,,5,45.993,,,,0.249,False,False,,,
13871272,,,6,46.402,,,,0.249,False,False,,,
13871272,,,7,47.031,,,,0.048,False,False,,,
13871272,,,8,46.143,,,,0.048,False,False,,,
13871272,,,9,45.724,19:03:00.315,,,0.143,True,True,,,
7048573,,,1,49.074,,2.485,0.246,0.053,False,False,,,
7048573,,,2,47.084,,0.495,0.203,0.073,False,False,,,
7048573,,,3,46.242,,,,0.347,False,False,,,
7048573,,,4,46.321,,,,0.068,False,False,,,
7048573,,,5,46.273,,0.249,0.249,0.068,False,False,,,
7048573,,,6,46.041,,0.048,0.048,0.269,False,False,,,
7048573,,,7,46.432,,0.048,0.048,0.269,False,False,,,
7048573,,,8,45.867,,,,0.126,False,False,,,
7048573,,,9,45.967,19:03:03.917,0.143,0.143,0.443,False,True,,,
10927270,,,1,47.315,,0.032,0.032,0.084,False,False,,,
10927270,,,2,47.157,,,,0.126,False,False,,,
10927270,,,3,46.854,,0.265,0.265,0.027,False,False,,,
10927270,,,4,46.310,,0.068,0.068,0.279,False,False,,,
10927270,,,5,48.113,,0.068,0.068,0.228,False,False,,,
10927270,,,6,46.330,,0.317,0.068,0.228,False,False,,,
10927270,,,7,46.590,,0.317,0.269,0.228,False,False,,,
10927270,,,8,46.518,,0.317,0.269,0.228,False,False,,,
10927270,,,9,46.364,19:02:46.423,0.443,0.317,0.117,False,True,,,
8228829,,,1,47.283,,0.126,0.126,0.116,False,False,,,
8228829,,,2,46.881,,,,0.276,False,False,,,
8228829,,,3,46.844,,0.255,0.255,0.010,False,False,,,
8228829,,,4,46.939,,0.602,0.216,0.062,False,False,,,
8228829,,,5,46.538,,0.296,,0.090,False,False,,,
8228829,,,6,47.197,,0.545,0.228,0.090,False,False,,,
8228829,,,7,46.585,,0.545,0.228,0.090,False,False,,,
8228829,,,8,46.427,,0.434,0.117,0.145,False,False,,,
8228829,,,9,46.395,19:02:59.808,0.528,0.085,0.094,False,True,,,
12680280,,,1,50.103,,3.514,0.976,0.228,False,False,,,
12680280,,,2,48.251,,1.662,0.084,0.323,False,False,,,
12680280,,,3,46.906,,0.664,0.052,0.493,False,False,,,
12680280,,,4,48.336,,0.664,0.062,0.112,False,False,,,
