competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
10062511,,,1,51.401,,0.146,0.018,0.990,False,False,,,
10062511,,,2,47.895,,,,0.990,False,False,,,
10062511,,,3,45.734,,,,0.849,False,False,,,
10062511,,,4,45.752,,,,1.116,False,False,,,
10062511,,,5,45.984,,,,1.118,False,False,,,
10062511,,,6,45.454,,,,0.893,False,False,,,
10062511,,,7,45.497,,,,1.743,False,False,,,
10062511,,,8,45.419,,,,2.248,False,False,,,
10062511,,,9,45.590,19:57:53.446,,,2.490,True,True,,,
11818104,,,1,51.951,,1.528,0.392,0.716,False,False,,,
11818104,,,2,47.362,,0.849,0.849,,False,False,,,
11818104,,,3,46.001,,1.116,1.116,1.214,False,False,,,
11818104,,,4,45.754,,1.118,1.118,1.843,False,False,,,
11818104,,,5,45.759,,0.893,0.893,2.332,False,False,,,
11818104,,,6,46.304,,1.743,1.743,3.447,False,False,,,
11818104,,,7,46.002,,2.248,2.248,4.869,False,False,,,
11818104,,,8,45.661,,2.490,2.490,6.729,False,False,,,
11818104,,,9,45.946,19:57:56.292,2.846,2.846,8.758,False,True,,,
15443831,,,1,51.601,,1 Lap,0.467,0.161,False,False,,,
15443831,,,2,47.935,,2.605,0.542,0.326,False,False,,,
15443831,,,3,48.523,,5.394,0.365,1.845,False,False,,,
15443831,,,4,47.619,,7.261,0.339,0.994,False,False,,,
15443831,,,5,47.141,,8.418,0.461,0.518,False,False,,,
15443831,,,6,46.677,,9.641,3.029,,False,False,,,
15443831,,,7,46.058,,10.202,1.225,1.518,False,False,,,
15443831,,,8,46.465,,11.248,8.758,0.305,False,False,,,
15443831,,,9,45.812,19:58:04.916,11.470,8.624,0.305,False,True,,,
13820677,,,1,51.192,,1 Lap,1 Lap,0.128,False,False,,,
13820677,,,2,50.104,,2.063,1.214,0.128,False,False,,,
13820677,,,3,46.630,,2.959,1.843,0.542,False,False,,,
13820677,,,4,46.243,,3.450,2.332,2.070,False,False,,,
13820677,,,5,46.874,,4.340,3.447,3.472,False,False,,,
13820677,,,6,47.726,,6.612,4.869,3.617,False,False,,,
13820677,,,7,47.862,,8.977,6.729,3.029,False,False,,,
13820677,,,8,47.995,,11.553,0.305,3.143,False,False,,,
13820677,,,9,46.388,19:58:05.797,12.351,0.881,4.067,False,True,,,
11010697,,,1,52.278,,1 Lap,1.152,0.143,False,False,,,
11010697,,,2,49.642,,5.625,0.242,0.124,False,False,,,
11010697,,,3,47.569,,7.460,0.542,,False,False,,,
11010697,,,4,47.054,,8.762,0.288,,False,False,,,
11010697,,,5,46.568,,9.346,0.319,0.308,False,False,,,
11010697,,,6,47.267,,11.159,1.518,0.266,False,False,,,
11010697,,,7,46.458,,12.120,1.918,0.273,False,False,,,
11010697,,,8,49.154,,15.855,0.235,0.141,False,False,,,
11010697,,,9,46.802,19:58:10.513,17.067,4.716,,False,True,,,
16595332,,,1,53.130,,1 Lap,0.662,0.196,False,False,,,
16595332,,,2,49.142,,4.929,0.479,,False,False,,,
16595332,,,3,47.500,,6.695,0.307,0.223,False,False,,,
16595332,,,4,46.836,,7.779,0.518,0.695,False,False,,,
16595332,,,5,47.232,,9.027,0.609,0.319,False,False,,,
16595332,,,6,47.852,,11.425,0.266,,False,False,,,
16595332,,,7,46.465,,12.393,0.273,0.242,False,False,,,
16595332,,,8,48.646,,15.620,4.067,,False,False,,,
16595332,,,9,47.947,19:58:11.423,17.977,0.910,0.376,False,True,,,
13248252,,,1,52.699,,1 Lap,1.736,1.152,False,False,,,
13248252,,,2,50.552,,5.383,0.161,0.242,False,False,,,
13248252,,,3,48.321,,7.970,0.510,0.230,False,False,,,
13248252,,,4,48.167,,10.385,1.623,,False,False,,,
13248252,,,5,46.814,,11.215,1.561,0.868,False,False,,,
13248252,,,6,46.451,,12.212,0.241,2.564,False,False,,,
13248252,,,7,48.079,,14.794,0.160,2.825,False,False,,,
13248252,,,8,47.084,,16.459,0.463,0.405,False,False,,,
13248252,,,9,47.618,19:58:11.933,18.487,0.510,,False,True,,,
10761436,,,1,51.729,,1 Lap,1.008,1.736,False,False,,,
10761436,,,2,52.654,,5.749,0.124,3.031,False,False,,,
10761436,,,3,48.185,,8.200,0.230,5.628,False,False,,,
10761436,,,4,48.805,,11.253,0.868,,False,False,,,
10761436,,,5,48.510,,13.779,2.564,3.803,False,False,,,
10761436,,,6,46.712,,15.037,2.825,2.401,False,False,,,
10761436,,,7,46.798,,16.338,1.544,2.554,False,False,,,
10761436,,,8,47.295,,18.214,1.350,2.152,False,False,,,
10761436,,,9,46.651,19:58:12.721,19.275,0.788,0.216,False,True,,,
13871272,,,1,50.917,,1 Lap,1 Lap,1.008,False,False,,,
13871272,,,2,53.135,,5.222,0.293,0.161,False,False,,,
13871272,,,3,47.430,,6.918,0.223,0.161,False,False,,,
13871272,,,4,55.091,,16.257,1.201,8.748,False,False,,,
13871272,,,5,46.249,,16.522,0.342,3.064,False,False,,,
13871272,,,6,46.996,,18.064,0.473,6.442,False,False,,,
13871272,,,7,45.923,,18.490,2.152,,False,False,,,
13871272,,,8,45.919,,18.990,0.776,1.048,False,False,,,
13871272,,,9,46.091,19:58:12.937,19.491,0.216,0.445,False,True,,,
13788776,,,1,51.796,,1 Lap,0.294,0.662,False,False,,,
13788776,,,2,49.325,,4.450,1.519,0.479,False,False,,,
13788776,,,3,47.672,,6.388,0.994,0.479,False,False,,,
13788776,,,4,47.838,,8.474,0.695,0.530,False,False,,,
13788776,,,5,47.164,,9.654,0.308,1.561,False,False,,,
13788776,,,6,47.771,,11.971,0.304,0.241,False,False,,,
13788776,,,7,48.160,,14.634,0.550,0.160,False,False,,,
13788776,,,8,47.649,,16.864,0.405,1.704,False,False,,,
13788776,,,9,48.662,19:58:13.382,19.936,0.445,,False,True,,,
11609723,,,1,52.515,,1 Lap,1.108,0.467,False,False,,,
11609723,,,2,48.728,,2.931,0.326,,False,False,,,
11609723,,,3,47.832,,5.029,2.070,0.365,False,False,,,
11609723,,,4,47.645,,6.922,3.472,0.339,False,False,,,
11609723,,,5,47.019,,7.957,3.617,0.461,False,False,,,
11609723,,,6,49.164,,11.667,0.242,0.304,False,False,,,
11609723,,,7,47.914,,14.084,1.691,0.550,False,False,,,
11609723,,,8,47.331,,15.996,0.141,0.463,False,False,,,
11609723,,,9,50.556,19:58:14.408,20.962,1.026,5.705,False,True,,,
15728644,,,1,53.794,,1 Lap,1 Lap,2.681,False,False,,,
15728644,,,2,55.631,,11.757,0.380,2.681,False,False,,,
15728644,,,3,47.772,,13.795,5.595,,False,False,,,
15728644,,,4,47.013,,15.056,3.803,,False,False,,,
15728644,,,5,47.108,,16.180,2.401,0.342,False,False,,,
15728644,,,6,46.865,,17.591,2.554,0.473,False,False,,,
15728644,,,7,47.444,,19.538,1.048,8.595,False,False,,,
15728644,,,8,47.582,,21.701,2.711,9.035,False,False,,,
15728644,,,9,46.846,19:58:16.403,22.957,1.995,9.728,False,True,,,
16602500,,,1,56.145,,1 Lap,0.988,0.803,False,False,,,
16602500,,,2,52.704,,12.499,0.742,,False,False,,,
16602500,,,3,49.853,,16.618,0.952,0.272,False,False,,,
16602500,,,4,48.455,,19.321,3.064,,False,False,,,
16602500,,,5,49.627,,22.964,6.442,0.469,False,False,,,
16602500,,,6,48.676,,26.186,8.122,3.750,False,False,,,
16602500,,,7,47.884,,28.573,9.035,2.371,False,False,,,
16602500,,,8,48.275,,31.429,9.728,2.013,False,False,,,
16602500,,,9,48.802,19:58:28.087,34.641,11.684,1.651,False,True,,,
11961197,,,1,1:00.190,,1 Lap,0.822,0.891,False,False,,,
11961197,,,2,51.012,,13.257,0.758,0.408,False,False,,,
11961197,,,3,49.367,,16.890,0.272,0.408,False,False,,,
11961197,,,4,48.652,,19.790,0.469,,False,False,,,
11961197,,,5,52.908,,26.714,3.750,1.306,False,False,,,
11961197,,,6,47.297,,28.557,2.371,1.306,False,False,,,
11961197,,,7,47.526,,30.586,2.013,3.008,False,False,,,
11961197,,,8,47.913,,33.080,1.651,2.782,False,False,,,
11961197,,,9,49.226,19:58:30.162,36.716,2.075,2.568,False,True,,,
13204087,,,1,59.428,,1 Lap,1.713,1.366,False,False,,,
13204087,,,2,51.007,,14.143,0.478,0.538,False,False,,,
13204087,,,3,49.520,,17.929,0.291,0.538,False,False,,,
13204087,,,4,51.578,,23.755,0.984,,False,False,,,
13204087,,,5,50.367,,28.138,0.118,,False,False,,,
13204087,,,6,48.881,,31.565,3.008,0.619,False,False,,,
13204087,,,7,47.300,,33.368,2.782,0.619,False,False,,,
13204087,,,8,47.699,,35.648,2.568,2.021,False,False,,,
13204087,,,9,47.483,19:58:30.987,37.541,0.825,2.620,False,True,,,
11390202,,,1,56.362,,1 Lap,2.616,1.713,False,False,,,
11390202,,,2,53.258,,14.681,0.538,,False,False,,,
11390202,,,3,50.741,,19.688,1.020,14.050,False,False,,,
11390202,,,4,50.080,,24.016,0.261,,False,False,,,
11390202,,,5,52.284,,30.316,1.479,1.243,False,False,,,
11390202,,,6,48.624,,33.486,0.315,1.243,False,False,,,
11390202,,,7,48.548,,36.537,1.148,0.362,False,False,,,
11390202,,,8,49.154,,40.272,2.004,0.362,False,False,,,
11390202,,,9,49.259,19:58:37.387,43.941,6.400,,False,True,,,
13772613,,,1,56.307,,1 Lap,1.791,0.825,False,False,,,
13772613,,,2,53.067,,13.665,0.408,,False,False,,,
13772613,,,3,49.707,,17.638,0.748,0.291,False,False,,,
13772613,,,4,50.885,,22.771,0.799,,False,False,,,
13772613,,,5,52.050,,28.837,0.699,1.479,False,False,,,
13772613,,,6,49.788,,33.171,0.987,1.479,False,False,,,
13772613,,,7,49.225,,36.899,0.362,2.265,False,False,,,
13772613,,,8,49.363,,40.843,0.571,3.624,False,False,,,
13772613,,,9,49.509,19:58:38.208,44.762,0.821,,False,True,,,
11548670,,,1,55.416,,1 Lap,1 Lap,,False,False,,,
11548670,,,2,1:09.924,,28.731,13.577,,False,False,,,
11548670,,,3,48.012,,31.009,11.321,,False,False,,,
11548670,,,4,48.263,,33.520,6.477,,False,False,,,
11548670,,,5,47.839,,35.375,3.816,,False,False,,,
11548670,,,6,47.884,,37.805,2.369,,False,False,,,
11548670,,,7,48.215,,40.523,3.624,,False,False,,,
11548670,,,8,48.227,,43.331,2.488,0.786,False,False,,,
11548670,,,9,48.883,19:58:40.070,46.624,1.862,,False,True,,,
12013013,,,1,59.387,,1 Lap,5.695,,False,False,,,
12013013,,,2,50.652,,15.154,0.473,,False,False,,,
12013013,,,3,49.248,,18.668,0.739,,False,False,,,
12013013,,,4,49.056,,21.972,2.182,,False,False,,,
12013013,,,5,52.032,,28.020,1.306,0.118,False,False,,,
12013013,,,6,49.618,,32.184,0.619,0.817,False,False,,,
12013013,,,7,48.702,,35.389,2.021,0.987,False,False,,,
12013013,,,8,48.298,19:57:46.124,38.268,2.620,1.148,False,False,,,
10927270,,,1,56.452,,1 Lap,0.526,0.299,False,False,,,
10927270,,,2,50.253,,11.377,5.628,0.380,False,False,,,
10927270,,,3,50.023,,15.666,1.871,1.122,False,False,,,
10927270,,,4,57.129,,27.043,3.027,15.343,False,False,,,
10927270,,,5,50.500,,31.559,1.243,6.477,False,False,,,
10927270,,,6,49.331,,35.436,1.950,3.816,False,False,,,
10927270,,,7,51.370,,41.309,0.786,,False,False,,,
10927270,,,8,57.769,19:58:01.515,1 Lap,10.328,,False,True,,,
